epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,622.666,2.71878,4.36614,3.62965,0.36487,0.21074,0.05483,0.01858,2.16087,4.41323,3.18778,0.000208248,0.000208248,0.000208248
2,1182.12,1.92787,3.56269,2.58135,0.23666,0.23678,0.14879,0.07198,1.75224,3.13449,2.68742,0.000408333,0.000408333,0.000408333
3,1721.56,1.69359,3.09249,2.28379,0.43775,0.34234,0.2493,0.14012,1.59251,3.165,2.48901,0.000600168,0.000600168,0.000600168
4,2274.5,1.58306,2.8223,2.15543,0.49156,0.32616,0.2642,0.1419,1.6807,2.67159,2.60117,0.000587875,0.000587875,0.000587875
5,2805.23,1.51644,2.658,2.07992,0.34093,0.396,0.31904,0.18295,1.53623,2.432,2.42825,0.0005755,0.0005755,0.0005755
6,3343.26,1.46897,2.52173,2.02999,0.39375,0.41036,0.33297,0.19319,1.51634,2.70843,2.42659,0.000563125,0.000563125,0.000563125
7,3881.98,1.42968,2.44241,1.98926,0.47373,0.35568,0.37878,0.23819,1.39732,2.29689,2.25401,0.00055075,0.00055075,0.00055075
8,4317.31,1.39882,2.34255,1.95909,0.50995,0.32007,0.36137,0.22955,1.41899,2.22496,2.29784,0.000538375,0.000538375,0.000538375
9,4677.13,1.37341,2.28292,1.94094,0.51182,0.40193,0.46575,0.29348,1.35555,1.94262,2.20156,0.000526,0.000526,0.000526
10,5036.21,1.3555,2.23736,1.91482,0.54357,0.43387,0.43747,0.28099,1.34147,1.94796,2.2117,0.000513625,0.000513625,0.000513625
11,5418.26,1.32769,2.17666,1.89294,0.47395,0.50695,0.45507,0.30398,1.29211,2.09334,2.15479,0.00050125,0.00050125,0.00050125
12,5834.26,1.31765,2.11591,1.87434,0.48957,0.52536,0.48906,0.31769,1.33752,1.92457,2.19918,0.000488875,0.000488875,0.000488875
13,6194.65,1.31121,2.09003,1.87085,0.53519,0.47791,0.51724,0.34396,1.3213,1.72314,2.17357,0.0004765,0.0004765,0.0004765
14,6550.41,1.29754,2.03843,1.85555,0.4863,0.51209,0.51647,0.34557,1.30377,1.81832,2.11188,0.000464125,0.000464125,0.000464125
15,6948.89,1.2767,2.00557,1.83907,0.56428,0.53468,0.5645,0.3892,1.29257,1.78479,2.13258,0.00045175,0.00045175,0.00045175
16,7503.67,1.27931,1.97129,1.84151,0.73973,0.4245,0.54754,0.35747,1.30602,1.73079,2.12899,0.000439375,0.000439375,0.000439375
17,8039.39,1.25026,1.92231,1.80549,0.55555,0.52386,0.52662,0.34724,1.31594,1.69685,2.13057,0.000427,0.000427,0.000427
18,8574.61,1.24535,1.89729,1.81086,0.63327,0.50731,0.57317,0.38808,1.3091,1.57593,2.16577,0.000414625,0.000414625,0.000414625
19,9118.34,1.25354,1.88556,1.81194,0.58766,0.55305,0.58006,0.40286,1.24354,1.68151,2.04355,0.00040225,0.00040225,0.00040225
20,9659.77,1.22887,1.81663,1.79009,0.73568,0.48392,0.6243,0.44272,1.22232,1.54375,2.00097,0.000389875,0.000389875,0.000389875
21,10203.4,1.23759,1.8558,1.79784,0.60361,0.5658,0.5967,0.40989,1.25698,1.57793,2.07458,0.0003775,0.0003775,0.0003775
22,10740.4,1.23455,1.82512,1.7912,0.64986,0.57358,0.60621,0.42017,1.25165,1.47563,2.04617,0.000365125,0.000365125,0.000365125
23,11285,1.21173,1.7931,1.77098,0.68995,0.56759,0.62666,0.44354,1.22885,1.48866,2.00046,0.00035275,0.00035275,0.00035275
24,11825.3,1.21299,1.79346,1.77591,0.67405,0.56037,0.61161,0.44327,1.19115,1.43768,1.97598,0.000340375,0.000340375,0.000340375
25,12312.6,1.19501,1.77452,1.7547,0.67113,0.57563,0.62375,0.43601,1.23658,1.43571,2.03327,0.000328,0.000328,0.000328
26,12765.3,1.19263,1.73915,1.75261,0.70313,0.56962,0.64258,0.44894,1.25291,1.42328,2.01233,0.000315625,0.000315625,0.000315625
27,13214.1,1.18234,1.71483,1.74324,0.64319,0.62899,0.62929,0.43938,1.23031,1.43114,2.02709,0.00030325,0.00030325,0.00030325
28,13656.9,1.18214,1.68937,1.73593,0.703,0.55167,0.62836,0.43533,1.23066,1.52122,2.00702,0.000290875,0.000290875,0.000290875
29,14115,1.16919,1.67298,1.72953,0.66047,0.59228,0.63533,0.45924,1.19773,1.42761,1.95893,0.0002785,0.0002785,0.0002785
30,14570.4,1.16373,1.67004,1.72346,0.67593,0.60737,0.65592,0.46505,1.23918,1.40012,2.02896,0.000266125,0.000266125,0.000266125
31,15016.3,1.16062,1.64649,1.71397,0.69533,0.62818,0.66577,0.47915,1.17049,1.33285,1.92676,0.00025375,0.00025375,0.00025375
32,15462.7,1.14247,1.60978,1.71013,0.72084,0.57739,0.64638,0.4627,1.17577,1.3639,1.93111,0.000241375,0.000241375,0.000241375
33,15907.3,1.13925,1.59982,1.70378,0.74314,0.53762,0.61935,0.44456,1.17998,1.38741,1.92922,0.000229,0.000229,0.000229
34,16358.8,1.14253,1.57872,1.70355,0.76574,0.58789,0.65419,0.46548,1.20726,1.33851,1.98572,0.000216625,0.000216625,0.000216625
35,16810,1.12786,1.59858,1.69029,0.73713,0.61152,0.66916,0.4816,1.16292,1.31502,1.91165,0.00020425,0.00020425,0.00020425
36,17265.6,1.1376,1.57883,1.69572,0.72219,0.62137,0.66668,0.49228,1.16363,1.31715,1.91414,0.000191875,0.000191875,0.000191875
37,17703,1.13303,1.5791,1.70529,0.70308,0.62885,0.669,0.48607,1.17059,1.34507,1.92472,0.0001795,0.0001795,0.0001795
38,18115.7,1.12674,1.5497,1.69198,0.73934,0.61828,0.66154,0.4686,1.19337,1.31116,1.94519,0.000167125,0.000167125,0.000167125
39,18497.6,1.1099,1.51264,1.67737,0.70786,0.6192,0.65838,0.47761,1.13583,1.29532,1.88537,0.00015475,0.00015475,0.00015475
40,18900.7,1.11199,1.52214,1.67973,0.67101,0.6466,0.66457,0.47992,1.16963,1.27287,1.90377,0.000142375,0.000142375,0.000142375
41,19238,0.99391,1.3527,1.73516,0.7705,0.60407,0.67463,0.50283,1.11908,1.26915,1.84021,0.00013,0.00013,0.00013
42,22438.2,0.97271,1.28405,1.72407,0.77318,0.61166,0.67342,0.49241,1.13886,1.28522,1.87475,0.000117625,0.000117625,0.000117625
43,23272,0.95441,1.24132,1.70469,0.73468,0.5937,0.65195,0.48832,1.12748,1.28233,1.86976,0.00010525,0.00010525,0.00010525
44,24012.2,0.94601,1.20562,1.70113,0.69336,0.65682,0.68785,0.50963,1.12897,1.2275,1.85012,9.2875e-05,9.2875e-05,9.2875e-05
45,24749.2,0.95301,1.19375,1.6986,0.69644,0.63817,0.68741,0.5077,1.1176,1.21662,1.83892,8.05e-05,8.05e-05,8.05e-05
46,25116.5,0.93248,1.19418,1.68045,0.76241,0.63474,0.69495,0.51269,1.13104,1.21596,1.85556,6.8125e-05,6.8125e-05,6.8125e-05
47,25483.5,0.92333,1.15795,1.67092,0.71133,0.65272,0.68731,0.50574,1.14063,1.24341,1.86179,5.575e-05,5.575e-05,5.575e-05
48,25872.9,0.91201,1.14789,1.66059,0.69413,0.64569,0.68091,0.50298,1.1245,1.2196,1.84995,4.3375e-05,4.3375e-05,4.3375e-05
49,26236.4,0.91497,1.1366,1.65755,0.67029,0.66386,0.68531,0.50109,1.12521,1.24071,1.84398,3.1e-05,3.1e-05,3.1e-05
50,26598.8,0.90388,1.11722,1.64293,0.66841,0.66864,0.68113,0.50887,1.10979,1.23403,1.82946,1.8625e-05,1.8625e-05,1.8625e-05
