epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,199.353,1.26096,8.01121,1.73403,0.5233,0.6135,0.60695,0.39339,1.27252,7.06975,1.9966,0.00998358,0.00332786,0.00998358,0.00332786,0.00998358,0.00332786,0.00998358,0.00332786
2,360.885,1.28899,7.00852,1.73255,0.59965,0.5728,0.62305,0.37285,1.48141,6.55886,2.31006,0.019983,0.00666101,0.019983,0.00666101,0.019983,0.00666101,0.019983,0.00666101
3,516.244,1.37802,7.7256,1.81245,0.62327,0.57039,0.57305,0.32175,1.54821,7.7406,2.44669,0.0299803,0.00999344,0.0299803,0.00999344,0.0299803,0.00999344,0.0299803,0.00999344
4,668.015,1.42821,8.05202,1.8632,0.63097,0.61099,0.63506,0.37688,1.52968,6.28712,2.36723,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756
5,821.591,1.41282,7.84925,1.86482,0.73347,0.61599,0.62781,0.39444,1.51922,5.88119,2.31284,0.029987,0.00999566,0.029987,0.00999566,0.029987,0.00999566,0.029987,0.00999566
6,1013.26,1.36299,7.22484,1.81183,0.7154,0.63085,0.69605,0.4487,1.34237,5.15054,2.12004,0.0299796,0.00999322,0.0299796,0.00999322,0.0299796,0.00999322,0.0299796,0.00999322
7,1216.51,1.34068,6.94001,1.78732,0.64102,0.67739,0.66856,0.4071,1.40954,5.33033,2.17535,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
8,1420.35,1.30702,6.70085,1.75955,0.7126,0.68875,0.7212,0.45826,1.35427,4.69987,2.16166,0.0299601,0.00998671,0.0299601,0.00998671,0.0299601,0.00998671,0.0299601,0.00998671
9,1614.41,1.28858,6.39014,1.73377,0.75538,0.67706,0.7255,0.48234,1.30282,4.92722,2.05038,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264
10,1786.97,1.26725,6.20611,1.71992,0.80091,0.71564,0.7709,0.50466,1.32219,4.44453,2.14614,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
11,1948.11,1.25279,6.05812,1.70738,0.82813,0.73341,0.77821,0.50998,1.28581,4.25826,2.02477,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288
12,2134.18,1.23321,5.90585,1.6909,0.75189,0.73254,0.77299,0.50752,1.32755,4.36524,2.10653,0.0299016,0.0099672,0.0299016,0.0099672,0.0299016,0.0099672,0.0299016,0.0099672
13,2321.76,1.22056,5.71879,1.67598,0.74831,0.70587,0.72494,0.49548,1.27248,4.11434,2.01098,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
14,2482.99,1.21016,5.60976,1.66367,0.81618,0.74533,0.78454,0.52132,1.29033,3.96681,2.08062,0.0298626,0.0099542,0.0298626,0.0099542,0.0298626,0.0099542,0.0298626,0.0099542
15,2644.65,1.17958,5.40593,1.64589,0.85572,0.73331,0.79062,0.54066,1.2363,3.92409,2.03098,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469
16,2804.25,1.1771,5.34904,1.6426,0.8034,0.74604,0.79395,0.53719,1.26342,3.73336,2.03922,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
17,2966.46,1.17372,5.19932,1.63521,0.86667,0.72915,0.81483,0.5428,1.28032,3.80279,1.99078,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068
18,3183.27,1.15848,5.09235,1.62044,0.84277,0.75098,0.80181,0.52822,1.29412,3.69841,2.03345,0.0297653,0.00992177,0.0297653,0.00992177,0.0297653,0.00992177,0.0297653,0.00992177
19,3492.81,1.1616,5.05957,1.6211,0.82734,0.72544,0.78846,0.52709,1.25773,3.85664,2.00531,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
20,3705.48,1.14405,5.01883,1.60961,0.80164,0.76222,0.80196,0.56132,1.18259,3.67893,1.89852,0.029707,0.00990234,0.029707,0.00990234,0.029707,0.00990234,0.029707,0.00990234
21,3913.11,1.12362,4.8373,1.59023,0.86282,0.72812,0.78854,0.55877,1.19985,3.89591,1.90641,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183
22,4123.56,1.12778,4.78236,1.59405,0.8328,0.74821,0.80825,0.55862,1.20803,3.76173,1.89136,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
23,4299.52,1.1191,4.69832,1.58494,0.81603,0.81042,0.83502,0.57531,1.18305,3.40227,1.92478,0.0296076,0.00986922,0.0296076,0.00986922,0.0296076,0.00986922,0.0296076,0.00986922
